mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
BB6tnEjxScB5nbt4rEtkri7pSRiqNXedrQeXZ9PXmtHd,4Y1HyvDpPLfqR4CihLQ8p4hi6LMPLvbJxxSdSRiB3kn7,"Degen Ape #2502",https://arweave.net/Pks4ZQNGb7kbVyUm34Gk87igpycqk4WGO7i6szKS_Ro,2502,https://arweave.net/Nuk7WJKe0-exgpWBB8CvX7zl-v-HXLccJds_MnKgujI,592
2fBAvA2XGfZe77hSQUigf6ytSACVNVvR7z59CC6dgkcX,77fScfRe2CMbTqKRgi54JQAT69R3sPj5pbdxoFv2L19b,"Degen Ape #4749",https://arweave.net/Um7yc4Ob72sKAlx931Mc2cy5Sv6Rj6SRmAyXplpCNHM,4749,https://arweave.net/9d0vdXNs0ehITAqs_rIwMfKmQ_h3uRbU118AccAl1dM,593
2JEfWeD5MfHEmUC17xTyxW34Sh3QFCZSAmqcqsAco2US,3z1db9sxiDhy2MMfV46CuokcoApB4PttYrkNbM8VFf9C,"Degen Ape #6227",https://arweave.net/zIJFeao0UFHN1_NPdnGJePwpsYQ23S721SLgR2Gddq8,6227,https://arweave.net/TpS35Frbdluk3vcCfgAF_HjOKjzXEOSZcXa37HALLck,594
ANDyok6wZngEa7ULJypgewAeuqbQWCBGxV2jsaNgCiUM,8K92QNNEwWvx6vodTXAPfVw2JAd3Bvh4cmDErXuSqcqa,"Degen Ape #173",https://arweave.net/7vSvROY2K62_kRXWjPKi9B2Ry8rBa4k0vJcSp38aq9Q,173,https://arweave.net/SXrhE1gscj7TFYBrjO9sLz2XVxkQVaggVaHJqmmmXaE,595
GGyaduUdwFjdge4Pt1xPDoatqwVGukFEEQT4GehxoMRM,4RLQamgXZ1KC2HGSKbGcw1DZyBKYde27c5aijZvWJqSv,"Degen Ape #6124",https://arweave.net/hrTGXTTMvyt3e3oCSQcpy2snC-F5Cil5ztBalCNu7kY,6124,https://arweave.net/8cmOukCiLqKxbKj71IthYm17_aDNF1KQ2324rj31mqo,596
CNTbZ7ZpGAPjdpjiMET9QEYEqXsuENJY8ytNXhLgfFeL,CVTgqjMRVYgA33NfcbkcihnZZBReiHzk3F8HqiskDU1x,"Degen Ape #6753",https://arweave.net/0lZwG5_B5aNiobrazm57zcR49s61NtBSlQ2T4oFEI2Y,6753,https://arweave.net/A-vmPV8oeTbj8MDFVj-UOGAPZ9TPwQpLKD6I3ug3oUA,597
EaSepCZSbSkAXkaCPvKu4D7Kk6TNMu1G5xfs46nKAmC9,CCQg2En72WEsDZhd5ittQrkCxUxZ3JanB6vKKDW4iWpD,"Degen Ape #7269",https://arweave.net/TEJe2B34bU87NU0vwAQueY4ZhVf5wOzrSSiAD9cuLGU,7269,https://arweave.net/fmBa2DR8khq6H8g6ZUu187UR0qR2mildPsXwaSaZIAQ,598
7eU9Mhs5xPjniWuNfKnLGHRAZA6nmG9CYbQKWTsrqwpV,AvzATnvb25s8QBfSRHj8akKnFhTrhL726NB6YdPZfcw7,"Degen Ape #7005",https://arweave.net/cIzswSqMpWQfs5p5SNBhnXmLLgntvcro8ygwCtpVZBM,7005,https://arweave.net/15XQg-UswVrAHWLaXt_FwN9VivgAkm8v-kppLQFskds,599
2PPbpAkjUYviE2ecFTz43SmzisNpiCAfViad39kKDiZ2,6KkCDq3n8ZGC2igNma5nFiE6kkr3fV4esPhJyGkQa6i7,"Degen Ape #5684",https://arweave.net/tILGI671XqMv2SLbNBH6J5_ONKagtDkA_BSF8DhLjoM,5684,https://arweave.net/Mz2ZeVU7NkSYebYdre3Z3cFIm4PhYrwZtPrbXXLyuis,600
JBRacQ22aoTxbDYxdbj4u4Xhjfy6W3eHZVJkhDXKPMpB,AemMo459xCF6wC9J9dyadaE7Qxz65nMXxZdFo7aRkRCa,"Degen Ape #7385",https://arweave.net/BikyXc1NamT7RcfCDGOvQPHTKii32sJMwTuPp_P4WaA,7385,https://arweave.net/sz9j1gwVeLNxrdqBD4iTJP0MAJ6xUOEXMgaMsXYsmQI,601
