mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri,genesis_order
6DnF62ott8W9ZsEyGXxGESVG3n8FcGb3cQmsnktKDDkX,8a6Lr2Cf9bJCRiLra9mZgFseaxRvtq7xLnQzQ7jP2dVt,"Degen Ape #256",https://arweave.net/wI4Ad_Vmut1PBjhxWWZkcyfD-bhcc0Cgntu5levnuhw,256,https://arweave.net/MGRDH55oiIH3BpGKVLIw4hzAE7UpuxN3EkLTumAW57M,281
6cn656yqw6XCKxRQpXGquDh9mnZ3HWKdBr9EtCTR6U2t,HwmZ7rruVXHjXdaZC62Vgb4BFXnkv2u93tBgS3YtfN2X,"","","","",286
ACvc7zGDfkLnpuZP3NrPALFWV6TvELNZWWpuaXxjRLpb,8JGmK5k19siCQVZo3qEbNXHUnBRnYUJisXx5XSBPXKmv,"","","","",290
HH4srRDAwLuBphpkKASpo68sStgHtJqm69hAnxHpxJh4,8JC4jqy27VmwDRitePnnCza2VoK2mTQ5ymr5k82Uejo7,"Degen Ape #6004",https://arweave.net/VKL80s2HZlFevAjwwT0JIoHpws6wtnMil-NfT_dog4o,6004,https://arweave.net/qa9BUfpOqkQ8v6e0oPzYpNyP071KM1HthJS58ZK5JzQ,292
79ffEtyE2wr4vCts5hsokhq4kVr1dGtdpQSmtHjAYyts,J22Mm5nXjrvCtVt6bdQXFhBSZLMofy2S2iW7hhJWZX1X,"Degen Ape #9891",https://arweave.net/295dSAQgbf-oEQS8WWXO4fap-CtkrjYYKVMyuJjimIg,9891,https://arweave.net/lY8xubJ0uBO762QnaVvMsXKXS2xTw6Jl2_yXopAyL6Q,300
BPPH9XR73WZGskzUMuSczYFZZQofyK52eNArpLzKbT1T,By53gB22HYm9VXSDMJwNNC1nk6zmEYWo4WdW21Py8VAc,"Degen Ape #3011",https://arweave.net/Qb4Ame729-s18IcmcnFHIIuScwVT5fIcRlO5NdBFIyI,3011,https://arweave.net/CSiKDCVGoxjwCTCPOm5fqiH-yrYZfbBt0LwetoxeEBw,301
7kT6C8TqdURvxrGNAykuRApZiqqxDiCJgP1yjSJRw71S,EMCaPQLq8et4LYaYSxEkrZkYsiFfk9nv9kg4FzqJvz7z,"Degen Ape #3638",https://arweave.net/6cYfDW1EabLkJjmtUQ6Ehk9WoEm-tsT2df1NwksB3hQ,3638,https://arweave.net/Yte_KVHUybKQbtzF2ToKeaGzheZhGM38orB0nEfFYQY,302
6tC6r38Mv4LpVNJAY1ZCLHmfgfpFT4tMogVaz6M5xwoH,G5WpH7oYhVWyE372Xyq469kJFubnjZjmGsVASLqAUSue,"Degen Ape #5334",https://arweave.net/s-vQU2NExrOBpSpG3KxEh0czFHPsZsyD10UDFGRliaQ,5334,https://arweave.net/nNrD15uYrYSPqw8HzGs11HxlhlBONQhWILHof3YQbKQ,311
3RYAk8NZmPvGd6z8inju9qxkpWh8fnf71hgXMuHn6V17,GSE3VvhbGZD1E6guJngchUdpsA5KjDJnYpyktne35wrP,"Degen Ape #6940",https://arweave.net/ctQZPX4IeLkPFcTyo5lJJ5uGi5nVb2COOynGqj5z5v0,6940,https://arweave.net/uBH-6Uo9bpfCLmKIzKwXfXHjigzrv2VFn2WWxhsfy-U,312
8naQtPW2LK5D2PVXLg3LiH3y5uqRLPzJpHwdeQJaSsWx,7ZWgQynceannvMjUgFi8VeP6i3ZQeBfE4UZvWzqr27DF,"Degen Ape #2107",https://arweave.net/9eRSam6kTzsDibx1tJskGqkGTqjmGooUwRVegjHstl8,2107,https://arweave.net/GbnCTcr3VHtxhGEp4rmHQhLhbV8Nlz8P7ijWes3ib2U,313
Bt2F6Qg2FXLnm4EmhLzYg3t4CqLronNZXmvQZL65GStd,6QTtehKzkeYqXfaNiTjRWf6XNtBSd7gkBM1tDtBF51Ro,"Degen Ape #9086",https://arweave.net/TiXJSMKfV22SYgts1SdJgnJCGMwuZFhlYct1TDLa7V0,9086,https://arweave.net/TpP9MkP5zx5naXUPqoHalq8cgdbdMZ-g44FSLbTSUvw,315
Ch7TMDZ5yWLEe2CXce6KZqAkLbFnGo3A74T5RwmM5cvq,45Lv47tEeQz9KXY7HTrMN68Y6wZrZneNanFQg8phYAvB,"Degen Ape #7903",https://arweave.net/ok7KDDNJZcx5O2KUTcjiJNhDrvs4jGbHjXlrD4i0mF4,7903,https://arweave.net/OggR1xFXtGNkdrqx8R5N5abwYb1stl6EMqnb3vs_41o,316
EssdwKVDwuPTr2pybeCarZmrsHMSWWfXQene6hFuhCb5,6XyXC9Tq65o52TMLoNtBhxQKBtET62ou3FPxTnnLc7oC,"Degen Ape #9238",https://arweave.net/AxkdPiBL01daQTG-X-CA8Q9qWZ5hLXquygtjEdR3fgQ,9238,https://arweave.net/ntfTC3i-AvBvmrNNwcGVQCObko-cppLNPm6zOn4rrW8,317
GXr6qc6VyMHJkcX1DVVYN3RgKkWKtYxdfoPaYzSwPgXg,85oev1y1GpqBsyuWBndh4rn9hgRo4MPZrm6HJkztCmBX,"","","","",318
468LJ2zHNsd65t9sje2BYxy7x5YyhB6Fm5EDjfGaDmNi,9dtMYBYHTPDv3kxQ6iJv4BAnDVyx52fPsDsh4Qtp84gJ,"Degen Ape #1072",https://arweave.net/8eExveiKW3f79S0lvEhc6GWz4kTU6lfTPYBc7OqFSC8,1072,https://arweave.net/iarQ9qhHUb8FNi7K3_zDx74HFFmVoOmy2aGJr74a1dg,320
