mint_address,meta_address,meta_name,meta_uri,inmate_number,image_uri
2ZQ4BsxZGnMfKAYLjtzUqF7Kr9zvrH6wLwbemheEqmoe,UP7ZraHK3Ft2Z1XCL159ibFG6bSXwyZyMgi4wmVT474,"ExiledApe 350/518",https://arweave.net/ny2pZQA3SX-NWQFg8ndIFuspZPUDJwaEve4bluSE3nE,6783,https://www.arweave.net/94QofergCUPI2pRkBj0JLbPKilVxV0h1LJZFaXaGzF0?ext=png
2ZYQPWFikjAWAoBwBVnPrH17Lphu9FLiwQ6srZQLr6V1,DZtnUosTbtRtwvBMGU82MzScLPNxGZmQtEVNP8J1SWC3,"ExiledApe 468/518",https://arweave.net/06ozAdFvgAYqCYDvWG0KJ0RaARdV0tmi6uk29JuUH28,1375,https://www.arweave.net/4dRGTbnb1CZueTFU6qyrUay_VrRenqPduKC91-Ln3jw?ext=png
2aFAk8H4ypsZZZ9i1Le6pGDX57W4Fc2LPanW1M2KYMzi,27KN6vyCH4QNAhT78EXWtPXRxa6eY5nJ4TqLTmejCjiK,"ExiledApe 330/518",https://arweave.net/bYIATkiC8LbIzs3KgftxvmtkPyYeEysEn_k6x9Lrkgo,4253,https://www.arweave.net/POhXrRwgwvf4rfn3hS2uXnzzBvGysiZ2MexwFNRs1bE?ext=png
2agbhr5hHjQ2U9nutLdgnUmfftbNzkxBV1dkx8DzhjBx,AoWNFfym7rM5RZQPFx2tbAZU5wraYcdVBYoYQtiK9Q24,"ExiledApe 384/518",https://arweave.net/UspxyT8M_fbrZjIDVsWBRty4wiuybCdt_ICSyEmcm8c,3528,https://www.arweave.net/4x7maTFFvcsR_CIK6vBe0UoI5czI5uyJhcV9GEbyO6I?ext=png
2e8Mp6xGvSiYy7F2b61pd7yPop1ptZba6bAgcyPeFfMX,7UFsPjsiBFTNKBKAta1Pw4sPWpFs6NN6AB6F5TvYr6xQ,"ExiledApe 470/518",https://arweave.net/_-D85ZQpujE3XhFS5pdzDb_Kl6Lb79QP21YX-xMQBoE,3431,https://www.arweave.net/UVXtcTZJNj9o6oVmDcW-87yhlOEpBeBzDFDYwebqPjk?ext=png
2frMiuWbTmZKf4kvzGDTumcbvUVB8dWA2iZ6TMo46VNW,28T54ETQJQzBdUTDsikFej97mAJhbF5KZcdN4xi1TYXr,"ExiledApe 126/518",https://arweave.net/pS54a1arb3YIqPs-SH2qVl09uKz67ZohCPN4ibxuC8w,7651,https://www.arweave.net/QvaOKM6I-0CPWyUIEuT7rWu2bbmQi6n6xxJXih91W7U?ext=png
2gSBozMybsi66UEsXuQBJnNXzGJ3vskEnStTtRooYuqT,E7CQyJLAs17rAyLVpPueqoYqaEc6LHYQoafd1oWbdQFh,"ExiledApe 381/518",https://arweave.net/cMZfklTXkCq8BWTKt6j1Z7CENtq4xHEYZ4AGwnswwgQ,9818,https://www.arweave.net/Hl1cOTUSlw8_WFXhAn-Lj0x_QW_UewAcDWGPIfmBeHY?ext=png
2hcTveZ56zJWZDGr4ceyvrEhz9a68KNcckFZxsaYBptR,FCkd2fchZkmyqrdJQsd9NBjtY8uGXhrhkieUu55dAMUC,"ExiledApe 168/518",https://arweave.net/wqj9ayI_WjwQmzxD3sIP9beIHEr2pI91cMXHsqYvLxw,5592,https://www.arweave.net/Lf2xx2Yjyyw9Xu0NNOFpv-6V9AKvjr6FFZy9ksYxmbc?ext=png
2i9xWCkCN8GKiT5nBbgh8MPrjiMqeggDhULBDYGVVLUw,A64Aq6mrLZSfGHwXSKyrCFMHGkahT62Bx61WHSBmLkwY,"ExiledApe 210/518",https://arweave.net/CPMNhGNlgJ77tlVHz75m3VD5V80HLctSODqi2wjhgso,7222,https://www.arweave.net/gcCmm7fDn1DtXvM1queMHzZaBiJVmmyfvc6bgUvDZ44?ext=png
2nVC6aEjabQCr8MpJTyc769gmyVRdWdEys1ZvbZXBkej,3DTFPBeyhtmaFLNLcWr6fxgPmMn9MQdrv8QapNXrTVc1,"ExiledApe 148/518",https://arweave.net/yZbpbwLW46awPTUrQrdWm3MAtXAa0w4AwyaW2f3C-ro,7733,https://www.arweave.net/ViyMdl9oZu75Ee0is5-JYO0iGLDcM7Cip_6H2kOiNEk?ext=png
2r6VCc4p3wtdfNdVrEiHnY32zi5d3D2LpnPkYxz8dix6,99894a5HnEVMatCtENf54jRfbmBv1FWeim5iquuyr6vd,"ExiledApe 309/518",https://arweave.net/lxcpKvgygo-dy-XSt-k_aB0go1JkJAuVclRqEqh28L8,1107,https://www.arweave.net/xm7FVoaE7lqWMeokzGHhGWULfbivFGfPhw_oVsOnQp0?ext=png
